id,name,category,price,stock,created_at
1,USB-C ケーブル 1m,Accessories,980.00,120,2024-02-01 09:00:00
2,USB-C ケーブル 2m,Accessories,1280.00,80,2024-02-01 09:00:00
3,ワイヤレスマウス,Peripherals,2480.00,60,2024-02-03 10:30:00
4,メカニカルキーボード,Peripherals,11800.00,25,2024-02-05 12:00:00
5,27インチモニタ,Display,29800.00,15,2024-02-10 14:20:00
6,ノートPCスタンド,Accessories,2980.00,40,2024-02-12 16:45:00
7,外付けSSD 1TB,Storage,13800.00,30,2024-02-15 11:15:00
8,外付けHDD 4TB,Storage,9800.00,22,2024-02-18 13:50:00
9,Webカメラ FHD,Peripherals,3980.00,55,2024-02-20 09:40:00
10,ノイズキャンセリングヘッドホン,Audio,16800.00,18,2024-02-25 18:05:00
11,マイクアーム,Audio,2980.00,42,2024-02-28 19:20:00
12,デスクライト,Accessories,3480.00,70,2024-03-02 08:10:00
